                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87677,                0.61734,                 1.2345,                0.96038,                0.98292,                0.98879,                0.83548,                0.67317,                0.37502,                 1.0782,               0.006634,               0.006634,               0.006634
                     36,                0.88296,                0.62974,                 1.2046,                0.96333,                      1,                0.99383,                0.83332,                0.68365,                0.35775,                 1.0654,               0.006535,               0.006535,               0.006535
                     37,                0.90765,                0.64072,                 1.2031,                0.99801,                      1,                  0.995,                0.84435,                0.65499,                0.31985,                 1.0333,               0.006436,               0.006436,               0.006436
                     38,                0.91072,                 0.6451,                 1.2273,                  0.987,                      1,                0.99492,                0.84361,                0.67047,                0.32831,                 1.0642,               0.006337,               0.006337,               0.006337
                     39,                0.91863,                0.69455,                 1.2609,                0.99881,                      1,                  0.995,                 0.8504,                0.68261,                0.31357,                   1.04,               0.006238,               0.006238,               0.006238
                     40,                0.85044,                0.60031,                  1.195,                 0.9976,                      1,                  0.995,                 0.8571,                0.65084,                0.31404,                 1.0104,               0.006139,               0.006139,               0.006139
                     41,                 0.9228,                0.60649,                 1.1657,                0.99761,                      1,                  0.995,                0.86425,                0.64191,                0.29073,                 1.0096,                0.00604,                0.00604,                0.00604
                     42,                0.85992,                0.60498,                  1.144,                0.99527,                      1,                  0.995,                0.87524,                0.58982,                0.29027,                0.99444,               0.005941,               0.005941,               0.005941
                     43,                0.94691,                0.69462,                 1.2984,                0.99648,                      1,                  0.995,                0.85727,                0.61161,                 0.3099,                 1.0185,               0.005842,               0.005842,               0.005842
                     44,                 0.8481,                0.59726,                 1.1562,                0.99742,                      1,                  0.995,                0.87181,                0.57967,                0.29767,                0.98491,               0.005743,               0.005743,               0.005743
                     45,                0.89302,                0.59408,                 1.2039,                0.98477,                0.99219,                0.99485,                0.86547,                0.58647,                0.32309,                0.99204,               0.005644,               0.005644,               0.005644
                     46,                0.80909,                 0.5409,                 1.1476,                0.99615,                      1,                  0.995,                0.86029,                0.58837,                 0.3085,                  1.026,               0.005545,               0.005545,               0.005545
                     47,                0.78924,                0.55247,                 1.1585,                0.99836,                      1,                  0.995,                0.86933,                0.57869,                0.29697,                 1.0334,               0.005446,               0.005446,               0.005446
                     48,                0.79038,                0.53831,                 1.1377,                0.99815,                      1,                  0.995,                0.87141,                0.57369,                0.27841,                 1.0146,               0.005347,               0.005347,               0.005347
                     49,                0.82078,                0.54281,                 1.1438,                0.99899,                      1,                  0.995,                0.87349,                 0.5804,                0.27977,                 1.0097,               0.005248,               0.005248,               0.005248
                     50,                0.80874,                0.56105,                 1.1533,                0.99873,                      1,                  0.995,                0.86928,                0.57113,                0.29684,                0.99156,               0.005149,               0.005149,               0.005149
                     51,                0.77231,                0.51227,                 1.1248,                0.99803,                      1,                  0.995,                0.87422,                0.55707,                 0.2864,                0.97689,                0.00505,                0.00505,                0.00505
                     52,                 0.7978,                0.53532,                 1.1241,                 0.9983,                      1,                  0.995,                0.87719,                   0.55,                0.27304,                0.95717,               0.004951,               0.004951,               0.004951
                     53,                 0.7438,                0.48003,                 1.1034,                0.99798,                      1,                  0.995,                0.86843,                0.56276,                0.27896,                 0.9765,               0.004852,               0.004852,               0.004852
                     54,                0.79987,                0.53199,                 1.1364,                0.99706,                      1,                  0.995,                0.87542,                 0.5392,                 0.2727,                0.96271,               0.004753,               0.004753,               0.004753
                     55,                0.79339,                0.55596,                 1.1515,                0.99758,                      1,                  0.995,                0.86271,                0.58893,                0.27503,                0.99587,               0.004654,               0.004654,               0.004654
                     56,                 0.8021,                0.53976,                 1.1446,                0.99805,                      1,                  0.995,                 0.8776,                0.56908,                 0.2702,                0.98816,               0.004555,               0.004555,               0.004555
                     57,                 0.7678,                0.52213,                  1.118,                0.99869,                      1,                  0.995,                0.87835,                0.54783,                0.27094,                0.98303,               0.004456,               0.004456,               0.004456
                     58,                0.74691,                0.50791,                 1.1142,                0.99764,                      1,                  0.995,                0.88225,                0.51057,                0.26042,                0.95009,               0.004357,               0.004357,               0.004357
                     59,                0.73856,                0.48723,                    1.1,                0.99879,                      1,                  0.995,                    0.9,                0.50386,                0.25171,                0.95329,               0.004258,               0.004258,               0.004258
                     60,                0.77767,                0.55607,                 1.1404,                0.99842,                      1,                  0.995,                 0.8976,                0.49649,                0.24751,                0.94214,               0.004159,               0.004159,               0.004159
                     61,                0.75462,                0.51462,                  1.156,                0.99823,                      1,                  0.995,                0.88332,                0.53024,                0.25913,                0.95047,                0.00406,                0.00406,                0.00406
                     62,                0.73472,                0.50055,                 1.0743,                0.99846,                      1,                  0.995,                0.88433,                0.52069,                0.25454,                0.95809,               0.003961,               0.003961,               0.003961
                     63,                0.67666,                0.45664,                 1.0694,                0.99888,                      1,                  0.995,                0.88915,                0.51465,                0.25532,                0.94581,               0.003862,               0.003862,               0.003862
                     64,                0.67862,                0.45212,                 1.0531,                0.99875,                      1,                  0.995,                0.89878,                 0.4923,                 0.2434,                0.93653,               0.003763,               0.003763,               0.003763
                     65,                0.70718,                0.49407,                  1.111,                0.99862,                      1,                  0.995,                0.89894,                0.49697,                0.23763,                 0.9276,               0.003664,               0.003664,               0.003664
                     66,                0.70373,                0.47954,                 1.0821,                0.99838,                      1,                  0.995,                0.90304,                0.48106,                0.23592,                0.92401,               0.003565,               0.003565,               0.003565
                     67,                0.68472,                0.45294,                 1.0742,                0.99767,                      1,                  0.995,                0.90769,                0.45328,                0.23603,                 0.9204,               0.003466,               0.003466,               0.003466
                     68,                0.69245,                0.45982,                 1.1108,                0.99803,                      1,                  0.995,                 0.9122,                0.44825,                0.23072,                0.91704,               0.003367,               0.003367,               0.003367
                     69,                 0.6685,                0.43935,                 1.0922,                0.99863,                      1,                  0.995,                0.90841,                0.45676,                0.23399,                0.92681,               0.003268,               0.003268,               0.003268
                     70,                0.70961,                0.43342,                 1.0774,                0.99894,                      1,                  0.995,                0.91584,                0.45314,                0.23467,                0.93152,               0.003169,               0.003169,               0.003169
                     71,                0.70119,                0.48137,                 1.0847,                0.99902,                      1,                  0.995,                0.92024,                0.44184,                0.22793,                0.92313,                0.00307,                0.00307,                0.00307
                     72,                0.71482,                0.47057,                 1.0654,                0.99837,                      1,                  0.995,                0.91446,                 0.4525,                0.22751,                0.91337,               0.002971,               0.002971,               0.002971
                     73,                0.65361,                0.41693,                 1.0403,                0.99846,                      1,                  0.995,                0.92109,                0.42996,                0.22245,                 0.8932,               0.002872,               0.002872,               0.002872
                     74,                0.63856,                0.40698,                 1.0383,                0.99819,                      1,                  0.995,                0.92787,                0.42753,                0.21821,                0.88876,               0.002773,               0.002773,               0.002773
                     75,                0.67535,                0.43827,                 1.0658,                 0.9981,                      1,                  0.995,                0.92248,                0.43096,                0.21645,                0.88591,               0.002674,               0.002674,               0.002674
                     76,                0.66387,                0.42221,                 1.0599,                0.99817,                      1,                  0.995,                0.92046,                0.44133,                0.22086,                0.88928,               0.002575,               0.002575,               0.002575
                     77,                0.66737,                0.44637,                 1.0774,                0.99859,                      1,                  0.995,                0.91898,                0.42737,                0.21234,                0.88421,               0.002476,               0.002476,               0.002476
                     78,                0.61469,                0.39944,                 1.0122,                0.99861,                      1,                  0.995,                0.91977,                0.42907,                0.21573,                0.88098,               0.002377,               0.002377,               0.002377
                     79,                0.76604,                0.53565,                 1.0747,                0.99816,                      1,                  0.995,                0.91168,                0.43381,                0.21418,                0.87965,               0.002278,               0.002278,               0.002278
                     80,                0.65912,                0.42688,                 1.0634,                0.99874,                      1,                  0.995,                0.91181,                0.42679,                0.20462,                0.87445,               0.002179,               0.002179,               0.002179
                     81,                0.65152,                0.42354,                 1.0391,                0.99889,                      1,                  0.995,                  0.917,                0.42335,                0.20664,                0.87466,                0.00208,                0.00208,                0.00208
                     82,                0.60899,                0.39837,                 1.0166,                0.99869,                      1,                  0.995,                0.92372,                0.41736,                0.20407,                0.87137,               0.001981,               0.001981,               0.001981
                     83,                0.65183,                0.41744,                 1.0448,                0.99833,                      1,                  0.995,                0.92375,                0.41438,                0.20182,                0.86705,               0.001882,               0.001882,               0.001882
                     84,                0.58981,                0.40364,                 1.0233,                0.99893,                      1,                  0.995,                 0.9226,                0.40777,                0.19616,                0.86709,               0.001783,               0.001783,               0.001783
                     85,                0.69535,                0.46993,                 1.0781,                0.99889,                      1,                  0.995,                0.92654,                0.39877,                0.18935,                0.86662,               0.001684,               0.001684,               0.001684
                     86,                0.62504,                0.40767,                 1.0386,                0.99886,                      1,                  0.995,                0.92759,                0.39403,                0.19082,                0.86519,               0.001585,               0.001585,               0.001585
                     87,                0.62021,                0.42041,                 1.0145,                0.99895,                      1,                  0.995,                0.93261,                0.38599,                0.18985,                0.86376,               0.001486,               0.001486,               0.001486
                     88,                0.60571,                0.44569,                 1.0444,                 0.9991,                      1,                  0.995,                0.93374,                0.37962,                0.18989,                0.86217,               0.001387,               0.001387,               0.001387
                     89,                0.61534,                 0.3875,                 1.0396,                0.99908,                      1,                  0.995,                0.93757,                0.38839,                0.19033,                0.86436,               0.001288,               0.001288,               0.001288
                     90,                0.48514,                 0.2826,                0.95828,                0.99902,                      1,                  0.995,                0.92145,                0.41822,                0.20156,                0.87265,               0.001189,               0.001189,               0.001189
                     91,                0.45317,                0.25757,                0.94595,                0.99899,                      1,                  0.995,                0.92861,                0.40648,                0.20078,                0.87505,                0.00109,                0.00109,                0.00109
                     92,                0.57773,                0.41476,                 1.0296,                0.99891,                      1,                  0.995,                0.93121,                0.40089,                0.19746,                0.87406,               0.000991,               0.000991,               0.000991
                     93,                0.47691,                0.26332,                0.93874,                0.99879,                      1,                  0.995,                0.93397,                0.38724,                0.19452,                0.87167,               0.000892,               0.000892,               0.000892
                     94,                0.41198,                 0.2353,                0.93268,                 0.9988,                      1,                  0.995,                 0.9383,                0.37525,                0.18663,                0.87163,               0.000793,               0.000793,               0.000793
                     95,                0.43367,                 0.2463,                0.94474,                 0.9987,                      1,                  0.995,                0.93983,                0.37295,                0.18992,                 0.8699,               0.000694,               0.000694,               0.000694
                     96,                0.41498,                0.23483,                0.92668,                0.99872,                      1,                  0.995,                0.94488,                 0.3679,                 0.1839,                0.87053,               0.000595,               0.000595,               0.000595
                     97,                0.45517,                0.25835,                0.94443,                0.99879,                      1,                  0.995,                0.94092,                0.37133,                0.18329,                 0.8731,               0.000496,               0.000496,               0.000496
                     98,                0.38256,                0.21471,                0.92413,                0.99882,                      1,                  0.995,                0.94382,                 0.3626,                0.17715,                0.86839,               0.000397,               0.000397,               0.000397
                     99,                0.43751,                0.24253,                0.92772,                0.99877,                      1,                  0.995,                0.94568,                0.35696,                0.17769,                 0.8655,               0.000298,               0.000298,               0.000298
